*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CHIPOTLE
*Date=12:33:07
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
151;;;33.6416;-34.5072;0;Bottom;SW6
152;;;19.4564;-63.2427;0;Bottom;Copper Fill2
153;;;43.4016;-18.423;-90;Bottom;TXT8
154;;;93.2039;-20.5261;0;Bottom;TXT13
155;;;13.6144;-17.0655;0;Bottom;Copper Fill47
156;;;68.9635;-42.7605;0;Bottom;Jumper38
157;;rca_lock;33.8031;-73.6205;90;Bottom;JP9
158;;;78.668;-18.1795;-90;Bottom;TXT8
159;;;35.306;-45.7167;0;Bottom;Copper Fill22
160;;;89.1286;-12.0617;0;Bottom;Copper Fill53
161;;;44.704;-72.6915;0;Bottom;Copper Fill10
162;;THT;20.1399;-47.0477;180;Bottom;J17
163;;;7.77184;-51.0823;0;Bottom;TXT9
164;;;58.6142;-18.4449;-90;Bottom;TXT8
165;;[THT];7.93064;-45.6411;90;Bottom;S1
166;10k;THT;35.2778;-45.7206;0;Bottom;R29
167;10k;THT;102.854;-45.7205;0;Bottom;R27
168;;;88.2773;-34.4074;0;Bottom;SW2
169;;;40.7205;-18.2819;-90;Bottom;TXT8
170;;;98.3742;-33.2199;0;Bottom;Copper Fill42
171;;;47.2251;-56.0488;0;Bottom;TXT10
172;;;20.0513;-2.80199;0;Bottom;TXT9
173;;;107.798;-70.8627;0;Bottom;Copper Fill8
174;;TO220 [THT];101.645;-50.4816;0;Bottom;IRFZ44N
175;;;82.5401;-42.7605;0;Bottom;Jumper41
176;;;81.106;-61.8577;0;Bottom;Hole14
177;;;3.36168;-18.8154;0;Bottom;Hole7
178;;;97.2058;-8.9883;0;Bottom;Copper Fill56
179;;TO220 [THT];74.3328;-50.4816;0;Bottom;IRFZ44N
180;;;38.1135;-2.80199;0;Bottom;TXT9
181;;;43.6626;-33.2199;0;Bottom;Copper Fill43
182;;TO220 [THT];33.9268;-50.4815;0;Bottom;IRFZ44N
